En->X spBLEU,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,AVG
DeepSeek-V3,671B,25.81825457,24.40568893,17.44435003,20.10038789,23.43610344,23.10743979,40.42939447,35.19869979,40.03157224,32.79556934,27.05663361,38.92048913,33.76579024,20.69426619,31.96086188,36.30277868,29.5
gpt-4o-mini-2024-07-18,,21.63789185,22.89674948,15.44464235,17.78232466,22.9249308,29.71799889,41.71392038,26.37509169,37.65561524,33.30572563,25.83300056,36.48859883,32.68241602,18.88159124,29.40833732,47.90578499,28.8
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
X->En TER,Size,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en,AVG
InternLM2.5,7B,25.4627982,23.44770191,26.62186821,25.54250533,28.01224884,32.60821401,52.48832909,40.79491375,43.01975561,41.87700414,36.3411052,53.03194096,36.01048322,33.11451898,80.40275765,88.82192288,41.7
Qwen2.5,7B,24.79626283,27.47700563,23.66621663,25.67936306,28.48126512,22.19768694,33.45548308,36.4867015,39.94160412,33.71134585,29.79855622,33.71873815,31.30280551,29.15011436,45.51248149,42.81265113,31.8
Llama3.1,8B,22.41607935,22.45037547,20.57567672,21.68005825,26.4806999,22.79919076,30.21563248,33.13088634,39.122182,34.92650101,27.57277647,33.59248722,29.6025575,25.56675584,29.40067762,33.16781679,28.3
Aya-Expanse,8B,31.74710035,31.66674853,28.61631919,32.00623559,40.53775906,31.81161115,46.07510953,40.81529783,48.54923281,42.81817508,32.17663987,47.71160692,39.21572411,34.36455759,55.16020011,62.73112592,40.4
Gemma2,9B,29.7169817,29.25040612,29.72395871,31.70730969,33.30558891,23.66707519,33.94987134,39.3335701,41.98849319,39.12982448,30.28156113,35.011097,32.77391567,29.66831264,26.44559222,33.56227895,32.5
InternLM2.5,20B,28.88452802,42.57180292,50.63549787,45.87350172,35.37114985,32.16291757,54.27146668,56.54029281,47.91410486,37.18549181,35.7050563,46.19189269,36.42487857,32.74809285,54.27704558,84.24007156,45.1
Gemma2,27B,24.34167732,23.23751133,21.66327318,24.86729071,27.3369233,21.02945462,26.61294121,31.01025623,35.10572059,30.96057822,26.34484727,30.78167917,27.41530984,27.26066716,22.47176282,25.73949905,26.6
Aya-Expanse,32B,23.74831443,23.44866622,23.65061761,24.50805015,27.40136136,20.84684894,28.41232595,31.86834217,35.12548823,32.90715753,26.50268817,33.16247021,27.54356764,26.52566686,33.12699072,39.58291958,28.6
Llama3.1,70B,19.17839589,21.28162805,20.16979491,22.11465992,24.62122207,18.53190958,20.52561947,31.08617621,36.80656715,30.10046372,22.82774961,28.40191394,22.46316015,22.21254099,20.49349254,22.17506351,23.9
Qwen2.5,72B,21.1111121,24.53579206,25.22637607,25.25829423,27.06339658,20.15875115,22.15140444,32.31671867,32.15414776,28.42430941,26.30839254,27.97800367,25.00493451,22.98549996,25.28659692,26.11321773,25.8
DeepSeek-V3,671B,21.98656964,20.56806875,19.64028413,22.11060951,25.95087464,18.06651759,22.59020516,31.15099173,34.35668065,27.84962793,26.72851973,26.46400537,22.94880508,23.30517802,19.24808125,21.60390287,24.0
gpt-4o-mini-2024-07-18,,19.49967968,20.18462129,18.36896105,20.25391933,21.96205403,18.60905127,23.82652971,28.19287378,31.44450377,27.08926584,24.47755094,27.35780699,24.62522416,22.12371911,20.51032377,23.57493553,23.3
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
