ifeval_ter,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en
Aya-Expanse,32B,17.06044044,17.05095374,10.85348487,11.34800934,20.84331802,43.44436982,58.14594893,22.36132297,33.51720025,29.98072604,26.40186419,27.84012233,38.45443185,15.43845725,71.37011305,46.58327491,15.80116959,14.66374269,12.60818713,12.06871345,18.14473684,17.72953216,24.97953216,25.83333333,23.95614035,23.80555556,20.72368421,30.53947368,23.46491228,16.92251462,28.63304094,34.9371345
Llama3.1,70B,14.64592447,12.86193894,8.220996308,9.329903142,15.85812501,25.71061413,28.0378987,19.59559507,34.2290634,26.87213764,38.99789321,23.67582721,23.9284837,11.7605836,28.39731512,26.90101737,13.02192982,12.57894737,10.3128655,10.32163743,15.83333333,12.78216374,14.87426901,22.00438596,21.55994152,20.78654971,23.55701754,19.89035088,17.07748538,14.29532164,14.29532164,18.25292398
Qwen2.5,72B,19.20061606,16.84377142,9.390683977,10.94466723,19.41023199,31.75830394,34.50955579,15.37780423,29.86967811,36.04583311,26.02998447,31.20163106,31.01603136,24.88897144,65.8148846,51.36762847,13.40497076,12.63157895,10.80263158,10.59502924,15.97953216,12.69883041,15.19152047,20.57309942,20.75438596,19.2119883,19.76169591,19.94444444,18.50584795,14.48245614,21.58918129,21.51169591
DeepSeek-V3,671B,12.30841631,11.22262774,7.91682221,8.372488998,12.17887676,21.09869538,25.74710406,14.51839726,25.01832457,21.63103637,21.98559299,18.63483838,21.90507215,11.94675695,20.34267546,25.52152048,14.02339181,12.90497076,10.78362573,10.68274854,16.32894737,12.73391813,13.9254386,20.49853801,20.96637427,18.57163743,19.26023392,19.43421053,17.3128655,14.45175439,14.75584795,18.10380117
gpt-4o-mini-2024-07-18,,14.93309946,14.08083639,8.90262281,10.06680499,14.60554817,24.79203795,31.26642656,16.83544775,26.80854236,24.50975191,22.36385691,20.02378626,24.96341945,14.13651024,23.4823952,35.85035854,13.50292398,12.89327485,11.0745614,10.68274854,16.53947368,12.73684211,15.05847953,22.23830409,21.71637427,20.26608187,20.19883041,21.25438596,18.3625731,15.37865497,16.25730994,19.56725146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_ter,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en
InternLM2.5,7B,74.86333819,78.85403531,46.36998785,48.9133693,67.27669577,111.0077519,128.403526,66.08412164,120.180519,165.4845467,111.6121654,232.5902669,172.7448632,89.14730317,525.8570415,120.927389,29.82336442,25.7978925,25.93434918,36.99492078,32.77992571,41.90736108,61.2463043,38.83708589,43.25676598,46.3649458,44.0679251,74.40679251,44.66681829,41.27056326,73.04980669,81.42673035
Qwen2.5,7B,51.57616618,41.13335435,32.30558931,43.54766187,60.13263936,87.75193798,80.7764224,36.97290364,72.29033471,141.5493734,92.14007542,134.6310832,68.30369483,44.37439379,107.1006383,109.6877351,26.72276552,28.26169358,22.6669699,36.03214313,31.33196877,28.91365325,46.64544007,39.94390114,46.67576378,39.02660905,33.76544614,46.02380411,43.30983246,33.53043742,57.17534683,57.53165037
Llama3.1,8B,37.53644315,35.71878941,26.10115431,38.93884892,41.16017461,53.53143842,70.99100703,56.01517824,69.47724709,64.83774944,56.72868888,79.18367347,43.72063024,26.8144056,68.65001182,66.30925508,23.13698734,24.42574483,22.11356228,33.60624668,29.09559548,25.22932302,38.62481995,38.8977333,39.89841559,38.29884012,30.77098021,42.80191039,29.80820256,28.04942764,34.18997802,36.10037147
Aya-Expanse,8B,32.10641399,35.21437579,24.12667072,34.01528777,37.62592344,74.42721792,88.87899564,36.76981455,60.56412185,47.84829664,36.82079496,92.74725275,72.87385976,22.54459579,89.14808102,83.09819413,20.99158517,22.97020696,20.77931923,31.70343416,27.66280039,33.56076113,52.6571147,36.84330225,38.53384884,36.29747555,26.07838678,61.25388522,39.69373057,27.90539004,61.02645743,70.93472822
Gemma2,9B,34.0196793,33.24401009,23.48116646,35.13189448,34.38549362,41.39534884,70.91977562,37.22943723,59.95487025,48.2121201,48.30932806,77.89638932,39.35317424,22.41808291,46.79643786,64.08954101,20.8854522,22.27276173,20.97642332,31.93844288,26.65453718,22.15146691,36.14585702,38.723372,39.58001668,37.15412023,27.75377151,41.65719051,26.51808051,26.62421348,29.00462437,34.80403305
InternLM2.5,20B,136.3247085,141.0308953,77.20990279,95.11390887,113.8851578,166.8044789,151.1174428,111.014911,169.680331,131.9576642,111.0836373,141.8210361,156.4360085,80.25344748,332.8631098,112.7727615,27.26859222,31.31680691,26.84406034,35.52422106,32.40087939,39.79986354,67.92510045,37.62413767,43.40080358,42.00591312,41.0507164,67.49298764,36.94185429,35.28163142,56.28837844,74.11113638
Gemma2,27B,31.36844023,32.05390921,22.07624544,33.52817746,31.85023506,31.23169681,66.69041047,35.16113516,58.49567507,44.08878762,38.4341967,73.24960754,35.58463098,19.16037616,40.23957759,58.55906697,19.49814267,21.18110833,20.65802441,31.09696005,25.61595027,19.9075127,32.24926086,35.20582215,37.38912895,35.78197256,24.86543856,37.60897582,24.9639906,25.32029414,26.67727996,29.69448867
Aya-Expanse,32B,29.34584548,33.92181589,21.84842041,33.58063549,33.63834788,49.60378984,75.44297035,34.48239004,60.30838661,42.11532101,34.45632688,85.49450549,53.23873583,19.16037616,76.72787454,75.79947329,18.72488818,20.4533394,19.95299826,30.0204685,24.48639224,23.39473884,36.0245622,34.37192025,35.32711697,33.42430445,22.9247214,44.29535289,28.61041619,25.48707452,38.45803957,47.54757031
Llama3.1,70B,27.45080175,30.06778058,22.55467801,34.32254197,32.06850235,30.06029285,63.05760841,35.97349153,61.20345995,51.56370585,40.22377449,73.21821036,31.06053626,18.05338844,44.03026243,51.82468021,17.86066257,20.80206201,19.56637101,31.73375787,25.04738079,20.11219771,29.89159275,34.58418619,35.0466227,32.65104996,24.08460314,36.48699871,22.75036009,23.34167235,26.00257751,27.17762111
Qwen2.5,72B,40.72521866,33.50409836,23.60267315,34.31504796,32.92478173,45.17657192,70.8129285,33.13024424,61.30124107,63.71320422,44.86925882,84.92935636,46.86261863,25.19504069,76.82244464,95.72046652,20.83238572,23.00053066,20.10461678,31.80956713,26.22242438,23.0384353,33.61382761,34.97839436,35.736487,33.71996058,27.17762111,39.01902813,27.07148814,25.38852248,33.59866576,36.85088318
DeepSeek-V3,671B,23.66071429,29.35056747,21.06622114,31.29496403,29.36534587,22.58397933,62.36310213,31.82619849,54.44151937,35.47829922,31.34079248,70.17268446,28.70174145,15.80145912,39.13625975,51.93754703,18.27761352,20.90061406,19.89993177,31.27132136,24.81237207,19.96816011,32.28716549,34.49321507,34.69031916,33.05283906,24.66833447,37.88947009,23.82685164,24.77446744,26.49533773,30.1645061
gpt-4o-mini-2024-07-18,,26.91326531,31.77017654,22.66859052,34.91456835,33.72229684,27.88113695,69.60199448,35.24664636,55.96840918,42.4460696,36.10681832,75.6043956,30.34184097,18.65432463,41.25620616,64.90782543,20.64286256,22.97778789,21.52983095,32.84815404,27.65521947,21.21143204,34.76612842,41.85429459,37.34364339,34.72822379,29.20930938,41.32362975,27.23068759,27.23826852,30.24031537,31.63520582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humaneval_ter,Size,en->cs,en->de,en->es,en->fr,en->ru,en->sr,en->bn,en->zh,en->ja,en->ko,en->ar,en->th,en->hu,en->vi,en->sw,en->te,cs->en,de->en,es->en,fr->en,ru->en,sr->en,bn->en,zh->en,ja->en,ko->en,ar->en,th->en,hu->en,vi->en,sw->en,te->en
InternLM2.5,7B,20.19058964,16.54126558,9.487793042,12.35355875,12.37660944,45.97923727,66.16873591,11.13171735,24.14566259,22.28809795,33.15024933,51.05289818,43.50101371,32.69308721,142.8423736,66.25098139,14.6269567,9.941044928,6.657857288,8.507826794,11.8011791,15.33848343,21.8133767,14.03232364,21.49318967,19.55173816,13.46818459,19.77027851,16.79711323,14.311852,30.7277902,32.20166701
